seed,economy,supplier,shock_allocation
2029,Netherlands,Canada,0.0
2029,Netherlands,Others,0.0
2029,Spain,China,0.25
2029,Spain,Australia,0.0
2029,Spain,Chile,0.0
2029,Spain,Argentina,0.0
2029,Spain,DR Congo,0.0
2029,Spain,Indonesia,0.0
2029,Spain,Russia,0.0
2029,Spain,United States,0.0
2029,Spain,Brazil,0.0
2029,Spain,South Africa,0.0
2029,Spain,Peru,0.0
2029,Spain,Canada,0.0
2029,Spain,Others,0.0
2030,France,China,0.25
2030,France,Australia,0.0
2030,France,Chile,0.0
2030,France,Argentina,0.0
2030,France,DR Congo,0.0
2030,France,Indonesia,0.0
2030,France,Russia,0.0
2030,France,United States,0.0
2030,France,Brazil,0.0
2030,France,South Africa,0.0
2030,France,Peru,0.0
2030,France,Canada,0.0
2030,France,Others,0.0
2030,Germany,China,0.25
2030,Germany,Australia,0.0
2030,Germany,Chile,0.0
2030,Germany,Argentina,0.0
2030,Germany,DR Congo,0.0
2030,Germany,Indonesia,0.0
2030,Germany,Russia,0.0
2030,Germany,United States,0.0
2030,Germany,Brazil,0.0
2030,Germany,South Africa,0.0
2030,Germany,Peru,0.0
2030,Germany,Canada,0.0
2030,Germany,Others,0.0
2030,Italy,China,0.25
2030,Italy,Australia,0.0
2030,Italy,Chile,0.0
2030,Italy,Argentina,0.0
2030,Italy,DR Congo,0.0
2030,Italy,Indonesia,0.0
2030,Italy,Russia,0.0
2030,Italy,United States,0.0
2030,Italy,Brazil,0.0
2030,Italy,South Africa,0.0
2030,Italy,Peru,0.0
2030,Italy,Canada,0.0
2030,Italy,Others,0.0
2030,Netherlands,China,0.25
2030,Netherlands,Australia,0.0
2030,Netherlands,Chile,0.0
2030,Netherlands,Argentina,0.0
2030,Netherlands,DR Congo,0.0
2030,Netherlands,Indonesia,0.0
2030,Netherlands,Russia,0.0
2030,Netherlands,United States,0.0
2030,Netherlands,Brazil,0.0
2030,Netherlands,South Africa,0.0
2030,Netherlands,Peru,0.0
2030,Netherlands,Canada,0.0
2030,Netherlands,Others,0.0
2030,Spain,China,0.25
2030,Spain,Australia,0.0
2030,Spain,Chile,0.0
2030,Spain,Argentina,0.0
2030,Spain,DR Congo,0.0
2030,Spain,Indonesia,0.0
2030,Spain,Russia,0.0
2030,Spain,United States,0.0
2030,Spain,Brazil,0.0
2030,Spain,South Africa,0.0
2030,Spain,Peru,0.0
2030,Spain,Canada,0.0
2030,Spain,Others,0.0
2031,France,China,0.25
2031,France,Australia,0.0
2031,France,Chile,0.0
2031,France,Argentina,0.0
2031,France,DR Congo,0.0
2031,France,Indonesia,0.0
2031,France,Russia,0.0
2031,France,United States,0.0
2031,France,Brazil,0.0
2031,France,South Africa,0.0
2031,France,Peru,0.0
2031,France,Canada,0.0
2031,France,Others,0.0
2031,Germany,China,0.25
2031,Germany,Australia,0.0
2031,Germany,Chile,0.0
2031,Germany,Argentina,0.0
2031,Germany,DR Congo,0.0
2031,Germany,Indonesia,0.0
2031,Germany,Russia,0.0
2031,Germany,United States,0.0
2031,Germany,Brazil,0.0
2031,Germany,South Africa,0.0
2031,Germany,Peru,0.0
2031,Germany,Canada,0.0
2031,Germany,Others,0.0
2031,Italy,China,0.25
2031,Italy,Australia,0.0
2031,Italy,Chile,0.0
2031,Italy,Argentina,0.0
2031,Italy,DR Congo,0.0
2031,Italy,Indonesia,0.0
2031,Italy,Russia,0.0
2031,Italy,United States,0.0
2031,Italy,Brazil,0.0
2031,Italy,South Africa,0.0
2031,Italy,Peru,0.0
2031,Italy,Canada,0.0
2031,Italy,Others,0.0
2031,Netherlands,China,0.25
2031,Netherlands,Australia,0.0
2031,Netherlands,Chile,0.0
2031,Netherlands,Argentina,0.0
2031,Netherlands,DR Congo,0.0
2031,Netherlands,Indonesia,0.0
2031,Netherlands,Russia,0.0
2031,Netherlands,United States,0.0
2031,Netherlands,Brazil,0.0
2031,Netherlands,South Africa,0.0
2031,Netherlands,Peru,0.0
2031,Netherlands,Canada,0.0
2031,Netherlands,Others,0.0
2031,Spain,China,0.25
2031,Spain,Australia,0.0
2031,Spain,Chile,0.0
2031,Spain,Argentina,0.0
2031,Spain,DR Congo,0.0
2031,Spain,Indonesia,0.0
2031,Spain,Russia,0.0
2031,Spain,United States,0.0
2031,Spain,Brazil,0.0
2031,Spain,South Africa,0.0
2031,Spain,Peru,0.0
2031,Spain,Canada,0.0
2031,Spain,Others,0.0
2032,France,China,0.25
2032,France,Australia,0.0
2032,France,Chile,0.0
2032,France,Argentina,0.0
2032,France,DR Congo,0.0
2032,France,Indonesia,0.0
2032,France,Russia,0.0
2032,France,United States,0.0
2032,France,Brazil,0.0
2032,France,South Africa,0.0
2032,France,Peru,0.0
2032,France,Canada,0.0
2032,France,Others,0.0
2032,Germany,China,0.25
2032,Germany,Australia,0.0
2032,Germany,Chile,0.0
2032,Germany,Argentina,0.0
2032,Germany,DR Congo,0.0
2032,Germany,Indonesia,0.0
2032,Germany,Russia,0.0
2032,Germany,United States,0.0
2032,Germany,Brazil,0.0
2032,Germany,South Africa,0.0
2032,Germany,Peru,0.0
2032,Germany,Canada,0.0
2032,Germany,Others,0.0
2032,Italy,China,0.25
2032,Italy,Australia,0.0
2032,Italy,Chile,0.0
2032,Italy,Argentina,0.0
2032,Italy,DR Congo,0.0
2032,Italy,Indonesia,0.0
2032,Italy,Russia,0.0
2032,Italy,United States,0.0
2032,Italy,Brazil,0.0
2032,Italy,South Africa,0.0
2032,Italy,Peru,0.0
2032,Italy,Canada,0.0
2032,Italy,Others,0.0
2032,Netherlands,China,0.25
2032,Netherlands,Australia,0.0
2032,Netherlands,Chile,0.0
2032,Netherlands,Argentina,0.0
2032,Netherlands,DR Congo,0.0
2032,Netherlands,Indonesia,0.0
2032,Netherlands,Russia,0.0
2032,Netherlands,United States,0.0
2032,Netherlands,Brazil,0.0
2032,Netherlands,South Africa,0.0
2032,Netherlands,Peru,0.0
2032,Netherlands,Canada,0.0
2032,Netherlands,Others,0.0
2032,Spain,China,0.25
2032,Spain,Australia,0.0
2032,Spain,Chile,0.0
2032,Spain,Argentina,0.0
2032,Spain,DR Congo,0.0
2032,Spain,Indonesia,0.0
2032,Spain,Russia,0.0
2032,Spain,United States,0.0
2032,Spain,Brazil,0.0
2032,Spain,South Africa,0.0
2032,Spain,Peru,0.0
2032,Spain,Canada,0.0
2032,Spain,Others,0.0
2033,France,China,0.25
2033,France,Australia,0.0
2033,France,Chile,0.0
2033,France,Argentina,0.0
2033,France,DR Congo,0.0
2033,France,Indonesia,0.0
2033,France,Russia,0.0
2033,France,United States,0.0
2033,France,Brazil,0.0
2033,France,South Africa,0.0
2033,France,Peru,0.0
2033,France,Canada,0.0
2033,France,Others,0.0
2033,Germany,China,0.25
2033,Germany,Australia,0.0
2033,Germany,Chile,0.0
2033,Germany,Argentina,0.0
2033,Germany,DR Congo,0.0
2033,Germany,Indonesia,0.0
2033,Germany,Russia,0.0
2033,Germany,United States,0.0
2033,Germany,Brazil,0.0
2033,Germany,South Africa,0.0
2033,Germany,Peru,0.0
2033,Germany,Canada,0.0
2033,Germany,Others,0.0
2033,Italy,China,0.25
2033,Italy,Australia,0.0
2033,Italy,Chile,0.0
2033,Italy,Argentina,0.0
2033,Italy,DR Congo,0.0
2033,Italy,Indonesia,0.0
2033,Italy,Russia,0.0
2033,Italy,United States,0.0
2033,Italy,Brazil,0.0
2033,Italy,South Africa,0.0
2033,Italy,Peru,0.0
2033,Italy,Canada,0.0
2033,Italy,Others,0.0
2033,Netherlands,China,0.25
2033,Netherlands,Australia,0.0
2033,Netherlands,Chile,0.0
2033,Netherlands,Argentina,0.0
2033,Netherlands,DR Congo,0.0
2033,Netherlands,Indonesia,0.0
2033,Netherlands,Russia,0.0
2033,Netherlands,United States,0.0
2033,Netherlands,Brazil,0.0
2033,Netherlands,South Africa,0.0
2033,Netherlands,Peru,0.0
2033,Netherlands,Canada,0.0
2033,Netherlands,Others,0.0
2033,Spain,China,0.25
2033,Spain,Australia,0.0
2033,Spain,Chile,0.0
2033,Spain,Argentina,0.0
2033,Spain,DR Congo,0.0
2033,Spain,Indonesia,0.0
2033,Spain,Russia,0.0
2033,Spain,United States,0.0
2033,Spain,Brazil,0.0
2033,Spain,South Africa,0.0
2033,Spain,Peru,0.0
2033,Spain,Canada,0.0
2033,Spain,Others,0.0
2034,France,China,0.25
2034,France,Australia,0.0
2034,France,Chile,0.0
2034,France,Argentina,0.0
2034,France,DR Congo,0.0
2034,France,Indonesia,0.0
2034,France,Russia,0.0
2034,France,United States,0.0
2034,France,Brazil,0.0
2034,France,South Africa,0.0
2034,France,Peru,0.0
2034,France,Canada,0.0
2034,France,Others,0.0
2034,Germany,China,0.25
2034,Germany,Australia,0.0
2034,Germany,Chile,0.0
2034,Germany,Argentina,0.0
2034,Germany,DR Congo,0.0
2034,Germany,Indonesia,0.0
2034,Germany,Russia,0.0
2034,Germany,United States,0.0
2034,Germany,Brazil,0.0
2034,Germany,South Africa,0.0
2034,Germany,Peru,0.0
2034,Germany,Canada,0.0
2034,Germany,Others,0.0
2034,Italy,China,0.25
2034,Italy,Australia,0.0
2034,Italy,Chile,0.0
2034,Italy,Argentina,0.0
2034,Italy,DR Congo,0.0
2034,Italy,Indonesia,0.0
2034,Italy,Russia,0.0
2034,Italy,United States,0.0
2034,Italy,Brazil,0.0
2034,Italy,South Africa,0.0
2034,Italy,Peru,0.0
2034,Italy,Canada,0.0
2034,Italy,Others,0.0
2034,Netherlands,China,0.25
2034,Netherlands,Australia,0.0
2034,Netherlands,Chile,0.0
2034,Netherlands,Argentina,0.0
2034,Netherlands,DR Congo,0.0
2034,Netherlands,Indonesia,0.0
2034,Netherlands,Russia,0.0
2034,Netherlands,United States,0.0
2034,Netherlands,Brazil,0.0
2034,Netherlands,South Africa,0.0
2034,Netherlands,Peru,0.0
2034,Netherlands,Canada,0.0
2034,Netherlands,Others,0.0
2034,Spain,China,0.25
2034,Spain,Australia,0.0
2034,Spain,Chile,0.0
2034,Spain,Argentina,0.0
2034,Spain,DR Congo,0.0
2034,Spain,Indonesia,0.0
2034,Spain,Russia,0.0
2034,Spain,United States,0.0
2034,Spain,Brazil,0.0
2034,Spain,South Africa,0.0
2034,Spain,Peru,0.0
2034,Spain,Canada,0.0
2034,Spain,Others,0.0
2035,France,China,0.25
2035,France,Australia,0.0
2035,France,Chile,0.0
2035,France,Argentina,0.0
2035,France,DR Congo,0.0
2035,France,Indonesia,0.0
2035,France,Russia,0.0
2035,France,United States,0.0
2035,France,Brazil,0.0
2035,France,South Africa,0.0
2035,France,Peru,0.0
2035,France,Canada,0.0
2035,France,Others,0.0
2035,Germany,China,0.25
2035,Germany,Australia,0.0
2035,Germany,Chile,0.0
2035,Germany,Argentina,0.0
2035,Germany,DR Congo,0.0
2035,Germany,Indonesia,0.0
2035,Germany,Russia,0.0
2035,Germany,United States,0.0
2035,Germany,Brazil,0.0
2035,Germany,South Africa,0.0
2035,Germany,Peru,0.0
2035,Germany,Canada,0.0
2035,Germany,Others,0.0
2035,Italy,China,0.25
2035,Italy,Australia,0.0
2035,Italy,Chile,0.0
2035,Italy,Argentina,0.0
2035,Italy,DR Congo,0.0
2035,Italy,Indonesia,0.0
2035,Italy,Russia,0.0
2035,Italy,United States,0.0
2035,Italy,Brazil,0.0
2035,Italy,South Africa,0.0
2035,Italy,Peru,0.0
2035,Italy,Canada,0.0
2035,Italy,Others,0.0
2035,Netherlands,China,0.25
2035,Netherlands,Australia,0.0
2035,Netherlands,Chile,0.0
2035,Netherlands,Argentina,0.0
2035,Netherlands,DR Congo,0.0
2035,Netherlands,Indonesia,0.0
2035,Netherlands,Russia,0.0
2035,Netherlands,United States,0.0
2035,Netherlands,Brazil,0.0
2035,Netherlands,South Africa,0.0
2035,Netherlands,Peru,0.0
2035,Netherlands,Canada,0.0
2035,Netherlands,Others,0.0
2035,Spain,China,0.25
2035,Spain,Australia,0.0
2035,Spain,Chile,0.0
2035,Spain,Argentina,0.0
2035,Spain,DR Congo,0.0
2035,Spain,Indonesia,0.0
2035,Spain,Russia,0.0
2035,Spain,United States,0.0
2035,Spain,Brazil,0.0
2035,Spain,South Africa,0.0
2035,Spain,Peru,0.0
2035,Spain,Canada,0.0
2035,Spain,Others,0.0
2036,France,China,0.25
2036,France,Australia,0.0
2036,France,Chile,0.0
2036,France,Argentina,0.0
2036,France,DR Congo,0.0
2036,France,Indonesia,0.0
2036,France,Russia,0.0
2036,France,United States,0.0
2036,France,Brazil,0.0
2036,France,South Africa,0.0
2036,France,Peru,0.0
2036,France,Canada,0.0
2036,France,Others,0.0
2036,Germany,China,0.25
2036,Germany,Australia,0.0
2036,Germany,Chile,0.0
2036,Germany,Argentina,0.0
2036,Germany,DR Congo,0.0
2036,Germany,Indonesia,0.0
2036,Germany,Russia,0.0
2036,Germany,United States,0.0
2036,Germany,Brazil,0.0
2036,Germany,South Africa,0.0
2036,Germany,Peru,0.0
2036,Germany,Canada,0.0
2036,Germany,Others,0.0
2036,Italy,China,0.25
2036,Italy,Australia,0.0
2036,Italy,Chile,0.0
2036,Italy,Argentina,0.0
2036,Italy,DR Congo,0.0
2036,Italy,Indonesia,0.0
2036,Italy,Russia,0.0
2036,Italy,United States,0.0
2036,Italy,Brazil,0.0
2036,Italy,South Africa,0.0
2036,Italy,Peru,0.0
2036,Italy,Canada,0.0
2036,Italy,Others,0.0
2036,Netherlands,China,0.25
2036,Netherlands,Australia,0.0
2036,Netherlands,Chile,0.0
2036,Netherlands,Argentina,0.0
2036,Netherlands,DR Congo,0.0
2036,Netherlands,Indonesia,0.0
2036,Netherlands,Russia,0.0
2036,Netherlands,United States,0.0
2036,Netherlands,Brazil,0.0
2036,Netherlands,South Africa,0.0
2036,Netherlands,Peru,0.0
2036,Netherlands,Canada,0.0
2036,Netherlands,Others,0.0
2036,Spain,China,0.25
2036,Spain,Australia,0.0
2036,Spain,Chile,0.0
2036,Spain,Argentina,0.0
2036,Spain,DR Congo,0.0
2036,Spain,Indonesia,0.0
2036,Spain,Russia,0.0
2036,Spain,United States,0.0
2036,Spain,Brazil,0.0
2036,Spain,South Africa,0.0
2036,Spain,Peru,0.0
2036,Spain,Canada,0.0
2036,Spain,Others,0.0
2037,France,China,0.25
2037,France,Australia,0.0
2037,France,Chile,0.0
2037,France,Argentina,0.0
2037,France,DR Congo,0.0
2037,France,Indonesia,0.0
2037,France,Russia,0.0
2037,France,United States,0.0
2037,France,Brazil,0.0
2037,France,South Africa,0.0
2037,France,Peru,0.0
2037,France,Canada,0.0
2037,France,Others,0.0
2037,Germany,China,0.25
2037,Germany,Australia,0.0
2037,Germany,Chile,0.0
2037,Germany,Argentina,0.0
2037,Germany,DR Congo,0.0
2037,Germany,Indonesia,0.0
2037,Germany,Russia,0.0
2037,Germany,United States,0.0
2037,Germany,Brazil,0.0
2037,Germany,South Africa,0.0
2037,Germany,Peru,0.0
2037,Germany,Canada,0.0
2037,Germany,Others,0.0
2037,Italy,China,0.25
2037,Italy,Australia,0.0
2037,Italy,Chile,0.0
2037,Italy,Argentina,0.0
2037,Italy,DR Congo,0.0
2037,Italy,Indonesia,0.0
2037,Italy,Russia,0.0
2037,Italy,United States,0.0
2037,Italy,Brazil,0.0
2037,Italy,South Africa,0.0
2037,Italy,Peru,0.0
2037,Italy,Canada,0.0
2037,Italy,Others,0.0
2037,Netherlands,China,0.25
2037,Netherlands,Australia,0.0
2037,Netherlands,Chile,0.0
2037,Netherlands,Argentina,0.0
2037,Netherlands,DR Congo,0.0
2037,Netherlands,Indonesia,0.0
2037,Netherlands,Russia,0.0
2037,Netherlands,United States,0.0
2037,Netherlands,Brazil,0.0
2037,Netherlands,South Africa,0.0
2037,Netherlands,Peru,0.0
2037,Netherlands,Canada,0.0
2037,Netherlands,Others,0.0
2037,Spain,China,0.25
2037,Spain,Australia,0.0
2037,Spain,Chile,0.0
2037,Spain,Argentina,0.0
2037,Spain,DR Congo,0.0
2037,Spain,Indonesia,0.0
2037,Spain,Russia,0.0
2037,Spain,United States,0.0
2037,Spain,Brazil,0.0
2037,Spain,South Africa,0.0
2037,Spain,Peru,0.0
2037,Spain,Canada,0.0
2037,Spain,Others,0.0
2038,France,China,0.25
2038,France,Australia,0.0
2038,France,Chile,0.0
2038,France,Argentina,0.0
2038,France,DR Congo,0.0
2038,France,Indonesia,0.0
2038,France,Russia,0.0
2038,France,United States,0.0
2038,France,Brazil,0.0
2038,France,South Africa,0.0
2038,France,Peru,0.0
2038,France,Canada,0.0
2038,France,Others,0.0
2038,Germany,China,0.25
2038,Germany,Australia,0.0
2038,Germany,Chile,0.0
2038,Germany,Argentina,0.0
2038,Germany,DR Congo,0.0
2038,Germany,Indonesia,0.0
2038,Germany,Russia,0.0
2038,Germany,United States,0.0
2038,Germany,Brazil,0.0
2038,Germany,South Africa,0.0
2038,Germany,Peru,0.0
2038,Germany,Canada,0.0
2038,Germany,Others,0.0
2038,Italy,China,0.25
2038,Italy,Australia,0.0
2038,Italy,Chile,0.0
2038,Italy,Argentina,0.0
2038,Italy,DR Congo,0.0
2038,Italy,Indonesia,0.0
2038,Italy,Russia,0.0
2038,Italy,United States,0.0
2038,Italy,Brazil,0.0
2038,Italy,South Africa,0.0
2038,Italy,Peru,0.0
2038,Italy,Canada,0.0
2038,Italy,Others,0.0
2038,Netherlands,China,0.25
2038,Netherlands,Australia,0.0
2038,Netherlands,Chile,0.0
2038,Netherlands,Argentina,0.0
2038,Netherlands,DR Congo,0.0
2038,Netherlands,Indonesia,0.0
2038,Netherlands,Russia,0.0
2038,Netherlands,United States,0.0
2038,Netherlands,Brazil,0.0
2038,Netherlands,South Africa,0.0
2038,Netherlands,Peru,0.0
2038,Netherlands,Canada,0.0
2038,Netherlands,Others,0.0
2038,Spain,China,0.25
2038,Spain,Australia,0.0
2038,Spain,Chile,0.0
2038,Spain,Argentina,0.0
2038,Spain,DR Congo,0.0
2038,Spain,Indonesia,0.0
2038,Spain,Russia,0.0
2038,Spain,United States,0.0
2038,Spain,Brazil,0.0
2038,Spain,South Africa,0.0
2038,Spain,Peru,0.0
2038,Spain,Canada,0.0
2038,Spain,Others,0.0
2039,France,China,0.25
2039,France,Australia,0.0
2039,France,Chile,0.0
2039,France,Argentina,0.0
2039,France,DR Congo,0.0
2039,France,Indonesia,0.0
2039,France,Russia,0.0
2039,France,United States,0.0
2039,France,Brazil,0.0
2039,France,South Africa,0.0
2039,France,Peru,0.0
2039,France,Canada,0.0
2039,France,Others,0.0
2039,Germany,China,0.25
2039,Germany,Australia,0.0
2039,Germany,Chile,0.0
2039,Germany,Argentina,0.0
2039,Germany,DR Congo,0.0
2039,Germany,Indonesia,0.0
2039,Germany,Russia,0.0
2039,Germany,United States,0.0
2039,Germany,Brazil,0.0
2039,Germany,South Africa,0.0
2039,Germany,Peru,0.0
2039,Germany,Canada,0.0
2039,Germany,Others,0.0
2039,Italy,China,0.25
2039,Italy,Australia,0.0
2039,Italy,Chile,0.0
2039,Italy,Argentina,0.0
2039,Italy,DR Congo,0.0
2039,Italy,Indonesia,0.0
2039,Italy,Russia,0.0
2039,Italy,United States,0.0
2039,Italy,Brazil,0.0
2039,Italy,South Africa,0.0
2039,Italy,Peru,0.0
2039,Italy,Canada,0.0
2039,Italy,Others,0.0
2039,Netherlands,China,0.25
2039,Netherlands,Australia,0.0
2039,Netherlands,Chile,0.0
2039,Netherlands,Argentina,0.0
2039,Netherlands,DR Congo,0.0
2039,Netherlands,Indonesia,0.0
2039,Netherlands,Russia,0.0
2039,Netherlands,United States,0.0
2039,Netherlands,Brazil,0.0
2039,Netherlands,South Africa,0.0
2039,Netherlands,Peru,0.0
2039,Netherlands,Canada,0.0
2039,Netherlands,Others,0.0
2039,Spain,China,0.25
2039,Spain,Australia,0.0
2039,Spain,Chile,0.0
2039,Spain,Argentina,0.0
2039,Spain,DR Congo,0.0
2039,Spain,Indonesia,0.0
2039,Spain,Russia,0.0
2039,Spain,United States,0.0
2039,Spain,Brazil,0.0
2039,Spain,South Africa,0.0
2039,Spain,Peru,0.0
2039,Spain,Canada,0.0
2039,Spain,Others,0.0
2040,France,China,0.25
2040,France,Australia,0.0
2040,France,Chile,0.0
2040,France,Argentina,0.0
2040,France,DR Congo,0.0
2040,France,Indonesia,0.0
2040,France,Russia,0.0
2040,France,United States,0.0
2040,France,Brazil,0.0
2040,France,South Africa,0.0
2040,France,Peru,0.0
2040,France,Canada,0.0
2040,France,Others,0.0
2040,Germany,China,0.25
2040,Germany,Australia,0.0
2040,Germany,Chile,0.0
2040,Germany,Argentina,0.0
2040,Germany,DR Congo,0.0
2040,Germany,Indonesia,0.0
2040,Germany,Russia,0.0
2040,Germany,United States,0.0
2040,Germany,Brazil,0.0
2040,Germany,South Africa,0.0
2040,Germany,Peru,0.0
2040,Germany,Canada,0.0
2040,Germany,Others,0.0
2040,Italy,China,0.25
2040,Italy,Australia,0.0
2040,Italy,Chile,0.0
2040,Italy,Argentina,0.0
2040,Italy,DR Congo,0.0
2040,Italy,Indonesia,0.0
2040,Italy,Russia,0.0
2040,Italy,United States,0.0
2040,Italy,Brazil,0.0
2040,Italy,South Africa,0.0
2040,Italy,Peru,0.0
2040,Italy,Canada,0.0
2040,Italy,Others,0.0
2040,Netherlands,China,0.25
2040,Netherlands,Australia,0.0
2040,Netherlands,Chile,0.0
2040,Netherlands,Argentina,0.0
2040,Netherlands,DR Congo,0.0
2040,Netherlands,Indonesia,0.0
2040,Netherlands,Russia,0.0
2040,Netherlands,United States,0.0
2040,Netherlands,Brazil,0.0
2040,Netherlands,South Africa,0.0
2040,Netherlands,Peru,0.0
2040,Netherlands,Canada,0.0
2040,Netherlands,Others,0.0
2040,Spain,China,0.25
2040,Spain,Australia,0.0
2040,Spain,Chile,0.0
2040,Spain,Argentina,0.0
2040,Spain,DR Congo,0.0
2040,Spain,Indonesia,0.0
2040,Spain,Russia,0.0
2040,Spain,United States,0.0
2040,Spain,Brazil,0.0
2040,Spain,South Africa,0.0
2040,Spain,Peru,0.0
2040,Spain,Canada,0.0
2040,Spain,Others,0.0
2041,France,China,0.25
2041,France,Australia,0.0
2041,France,Chile,0.0
2041,France,Argentina,0.0
2041,France,DR Congo,0.0
2041,France,Indonesia,0.0
2041,France,Russia,0.0
2041,France,United States,0.0
